,hours,u,v,ws,wd_sin,wd_cos,month_sin,month_cos,hour_sin,hour_cos,wp1,index_forecasted_weather
2009-07-01 01:00:00,1,0.23366171821230008,-0.19898242567786192,-0.8621849948996869,0.9284840279537646,-0.38243666263615683,0.3106623443093571,-1.3350292694426202,0.36602540378443865,1.3660254037844388,0.085,1
2009-07-01 02:00:00,2,0.18112113337113817,-0.26807231336529097,-0.9107219675536478,0.8737567932950496,-0.5186630440152284,0.3106623443093571,-1.3350292694426202,0.7071067811865475,1.2247448713915892,0.02,1
2009-07-01 03:00:00,3,0.1876887064762834,-0.344071189821463,-0.8347580943819554,0.821647399132692,-0.6210710875201654,0.3106623443093571,-1.3350292694426202,1.0,1.0000000000000002,0.06,1
2009-07-01 04:00:00,4,0.2369455047648728,-0.40970658312452063,-0.6876689228367354,0.7933048660447369,-0.6696128077449434,0.3106623443093571,-1.3350292694426202,1.2247448713915892,0.7071067811865478,0.045,1
2009-07-01 05:00:00,5,0.29605366271118,-0.4338880438151208,-0.5590166379250722,0.8031362597310399,-0.6532485103032424,0.3106623443093571,-1.3350292694426202,1.3660254037844386,0.36602540378443904,0.035,1
2009-07-01 06:00:00,6,0.33874288789462426,-0.37170714489643464,-0.5401022224480666,0.8571264824525334,-0.5535435804385493,0.3106623443093571,-1.3350292694426202,1.4142135623730951,2.4041448097085706e-16,0.005,1
2009-07-01 07:00:00,7,0.3485942475523421,-0.20589141444660483,-0.6356604220747649,0.9443745260260892,-0.333613010333362,0.3106623443093571,-1.3350292694426202,1.3660254037844388,-0.36602540378443826,0.0,1
2009-07-01 08:00:00,8,0.35844560721006,-0.015894223306174828,-0.6876689228367354,1.0018621754232164,-0.045045579320152775,0.3106623443093571,-1.3350292694426202,1.2247448713915892,-0.707106781186547,0.0,1
2009-07-01 09:00:00,9,0.40770240549864945,0.10155858576245463,-0.5971382249487781,1.0080646030883154,0.1339910781261665,0.3106623443093571,-1.3350292694426202,1.0000000000000002,-0.9999999999999997,0.01,1
2009-07-01 10:00:00,10,0.5259187213912639,0.07046813630311154,-0.37400984252333386,1.0085773119286474,0.09002909116463137,0.3106623443093571,-1.3350292694426202,0.707106781186548,-1.2247448713915885,0.025,1
2009-07-01 11:00:00,11,0.6638377565993142,-0.04007568399677501,-0.12322660435594049,1.002447203902197,-0.038828219960727606,0.3106623443093571,-1.3350292694426202,0.36602540378443904,-1.3660254037844384,0.03,1
2009-07-01 12:00:00,12,0.7426486338610574,-0.13334703237480428,0.032209845090878986,0.9910493795569736,-0.13075253372461565,0.3106623443093571,-1.3350292694426202,1.602146480040958e-16,-1.4142135623730947,0.01,1
2009-07-01 13:00:00,1,0.3748645399729231,-0.15061950429666154,-0.6099338219615545,0.9685915169293249,-0.2446449139619262,0.3106623443093571,-1.3350292694426202,-0.3660254037844381,-1.3660254037844386,0.0,2
2009-07-01 14:00:00,2,0.4897970693129651,-0.18170995375600463,-0.39211260523971214,0.9674344939939593,-0.2494560034277724,0.3106623443093571,-1.3350292694426202,-0.7071067811865472,-1.224744871391589,0.01,2
2009-07-01 15:00:00,3,0.5456214407066997,-0.14025602114354718,-0.3024261221869582,0.9824906036985628,-0.17999057100864752,0.3106623443093571,-1.3350292694426202,-0.9999999999999996,-1.0000000000000002,0.0,2
2009-07-01 16:00:00,4,0.552189013811845,-0.05389366153426082,-0.3142666253995077,0.9990499496408584,-0.07169915857906899,0.3106623443093571,-1.3350292694426202,-1.2247448713915887,-0.7071067811865479,0.0,2
2009-07-01 17:00:00,5,0.5062160020758282,0.029014203690654085,-0.4103004254114713,1.007273987903664,0.03307260659756745,0.3106623443093571,-1.3350292694426202,-1.3660254037844386,-0.36602540378443954,0.0,2
2009-07-01 18:00:00,6,0.410986192051222,0.060104653149997175,-0.5907571455170141,1.0084622548552833,0.07598114329289235,0.3106623443093571,-1.3350292694426202,-1.4142135623730951,-1.0596794152334023e-16,0.005,2
2009-07-01 19:00:00,7,0.2697833702905991,0.011741731768796816,-0.8690763506926331,1.0047130944518743,-0.011341620997885856,0.3106623443093571,-1.3350292694426202,-1.366025403784439,0.3660254037844381,0.0,2
2009-07-01 20:00:00,8,0.10887782921454028,-0.08152961660923247,-1.1951674488386446,0.9709154350372821,-0.23475787744842744,0.3106623443093571,-1.3350292694426202,-1.2247448713915896,0.7071067811865467,0.0,2
2009-07-01 21:00:00,9,-0.0356087790986553,-0.1678919762185188,-1.4666536793811351,0.8707915180983281,-0.5250576052370749,0.3106623443093571,-1.3350292694426202,-1.0000000000000002,0.9999999999999999,0.0,2
2009-07-01 22:00:00,10,-0.14725752188612465,-0.20934590883097626,-1.6663513845731148,0.7391956198521236,-0.7520908323794442,0.3106623443093571,-1.3350292694426202,-0.7071067811865482,1.2247448713915887,0.005,2
2009-07-01 23:00:00,11,-0.25233869156844874,-0.22661838075283355,-1.8729284347484385,0.5602072292436617,-0.961971424927408,0.3106623443093571,-1.3350292694426202,-0.3660254037844398,1.3660254037844384,0.015,2
2009-07-02 00:00:00,12,-0.39025772677649906,-0.25425433582780516,-2.0562828550000676,0.1248441701325291,-1.258585522814648,0.3106623443093571,-1.3350292694426202,-1.297656324300289e-17,1.414213562373095,0.0,2
2009-07-02 01:00:00,1,-0.311446849514756,-0.2991627628246341,-1.824442013254806,0.2953585964761553,-1.1681515349722043,0.3106623443093571,-1.3350292694426202,0.36602540378443865,1.3660254037844388,0.0,3
2009-07-02 02:00:00,2,-0.38697394022392645,-0.4511605157369781,-1.5344555685904602,-0.07657507650643566,-1.333193585844115,0.3106623443093571,-1.3350292694426202,0.7071067811865475,1.2247448713915892,0.01,3
2009-07-02 03:00:00,3,-0.4953388964588232,-0.43043354943074935,-1.6483808296691465,-0.3921747425441194,-1.3909791658891082,0.3106623443093571,-1.3350292694426202,1.0,1.0000000000000002,0.01,3
2009-07-02 04:00:00,4,-0.6234065720091556,-0.2922537740558912,-1.9935182269075447,-0.8832199811752951,-1.350516344146714,0.3106623443093571,-1.3350292694426202,1.2247448713915892,0.7071067811865478,0.0,3
2009-07-02 05:00:00,5,-0.7186363820337619,-0.1298925379904328,-2.3155299344580165,-1.5671556293440987,-0.9783503153934907,0.3106623443093571,-1.3350292694426202,1.3660254037844386,0.36602540378443904,0.0,3
2009-07-02 06:00:00,6,-0.7416228879017702,-0.019348717690546285,-2.4786444300722197,-1.9076458617275056,-0.4967727048758525,0.3106623443093571,-1.3350292694426202,1.4142135623730951,2.4041448097085706e-16,0.0,3
2009-07-02 07:00:00,7,-0.6595282240874546,-0.02971220084366064,-2.7483156343812842,-1.7063208053245835,-0.8276370904345759,0.3106623443093571,-1.3350292694426202,1.3660254037844388,-0.36602540378443826,0.0,3
2009-07-02 08:00:00,8,-0.5478794812999852,-0.12298354922168989,-2.629335393926002,-0.6313127450609247,-1.3910200797122885,0.3106623443093571,-1.3350292694426202,1.2247448713915892,-0.707106781186547,0.0,3
2009-07-02 09:00:00,9,-0.49862268301139573,-0.22661838075283355,-2.2331207165664124,-0.3187946357780895,-1.3835330228766742,0.3106623443093571,-1.3350292694426202,1.0000000000000002,-0.9999999999999997,0.015,3
2009-07-02 10:00:00,10,-0.567582200615421,-0.2991627628246341,-2.014245120943648,-0.6458586826759802,-1.3898289922565343,0.3106623443093571,-1.3350292694426202,0.707106781186548,-1.2247448713915885,0.03,3
2009-07-02 11:00:00,11,-0.6792309434028904,-0.34061669543709155,-1.81485995838225,-1.0308349491647544,-1.306166020199769,0.3106623443093571,-1.3350292694426202,0.36602540378443904,-1.3660254037844384,0.01,3
2009-07-02 12:00:00,12,-0.725203955138907,-0.382070628049549,-1.6663513845731148,-1.12612247915192,-1.2686449857100626,0.3106623443093571,-1.3350292694426202,1.602146480040958e-16,-1.4142135623730947,0.0,3
2009-07-02 13:00:00,1,-0.4066766595393622,-0.6791571451054942,-1.0388847355524176,-0.24142843023207092,-1.3718263318314212,0.3106623443093571,-1.3350292694426202,-0.3660254037844381,-1.3660254037844386,0.0,4
2009-07-02 14:00:00,2,-0.2917441301993202,-0.7171565833335802,-0.9107219675536478,-0.04641186901966795,-1.3240209713825246,0.3106623443093571,-1.3350292694426202,-0.7071067811865472,-1.224744871391589,0.0,4
2009-07-02 15:00:00,3,-0.23591975880558555,-0.7344290552554374,-0.8279355851667445,0.04034932158749242,-1.293794886097701,0.3106623443093571,-1.3350292694426202,-0.9999999999999996,-1.0000000000000002,0.0,4
2009-07-02 16:00:00,4,-0.20964946638500456,-0.7447925384085519,-0.794024299084367,0.0762667851515033,-1.2795482065611523,0.3106623443093571,-1.3350292694426202,-1.2247448713915887,-0.7071067811865479,0.01,4
2009-07-02 17:00:00,5,-0.18337917396442352,-0.7551560215616662,-0.7537632844642163,0.10574554615537546,-1.2670642940702954,0.3106623443093571,-1.3350292694426202,-1.3660254037844386,-0.36602540378443954,0.01,4
2009-07-02 18:00:00,6,-0.13083858912326152,-0.7827919766366378,-0.668077561600404,0.16457665609950686,-1.2399329247132762,0.3106623443093571,-1.3350292694426202,-1.4142135623730951,-1.0596794152334023e-16,0.01,4
2009-07-02 19:00:00,7,-0.025757419440937408,-0.8311548980178383,-0.49012732376263557,0.2627222013339833,-1.1876414544423504,0.3106623443093571,-1.3350292694426202,-1.366025403784439,0.3660254037844381,0.01,4
2009-07-02 20:00:00,8,0.11216161576711292,-0.8795178193990385,-0.2788506790879346,0.37078903316674305,-1.1186891036525108,0.3106623443093571,-1.3350292694426202,-1.2247448713915896,0.7071067811865467,0.01,4
2009-07-02 21:00:00,9,0.2500806509751633,-0.8967902913208958,-0.10629467692319736,0.47351890957891857,-1.0401671352949318,0.3106623443093571,-1.3350292694426202,-1.0000000000000002,0.9999999999999999,0.08,4
2009-07-02 22:00:00,10,0.3650131803152053,-0.8622453474771813,-0.017131267252707756,0.5690157512624959,-0.9533140919729999,0.3106623443093571,-1.3350292694426202,-0.7071067811865482,1.2247448713915887,0.025,4
2009-07-02 23:00:00,11,0.4274051248140852,-0.7793374822522664,-0.028174027996972238,0.6499290757845229,-0.8665426072622611,0.3106623443093571,-1.3350292694426202,-0.3660254037844398,1.3660254037844384,0.08,4
2009-07-03 00:00:00,12,0.42083755170893994,-0.6722481563367513,-0.1459108242991447,0.7082762404983408,-0.7943795149593365,0.3106623443093571,-1.3350292694426202,-1.297656324300289e-17,1.414213562373095,0.201,4
2009-07-03 01:00:00,1,0.1417156947402666,-0.6653391675680084,-0.5338187355101907,0.5416091600477226,-0.9797934593849101,0.3106623443093571,-1.3350292694426202,0.36602540378443865,1.3660254037844388,0.12,1
2009-07-03 02:00:00,2,0.16141841405570237,-0.5893402911118363,-0.6035304309611347,0.6157017519186083,-0.9049361785225215,0.3106623443093571,-1.3350292694426202,0.7071067811865475,1.2247448713915892,0.035,1
2009-07-03 03:00:00,3,0.24351307787001805,-0.5167959090400357,-0.5590166379250722,0.7205137616641113,-0.778013004640739,0.3106623443093571,-1.3350292694426202,1.0,1.0000000000000002,0.05,1
2009-07-03 04:00:00,4,0.3650131803152053,-0.4546150101213496,-0.42857451337612174,0.8156106162085852,-0.631771030328354,0.3106623443093571,-1.3350292694426202,1.2247448713915892,0.7071067811865478,0.08,1
2009-07-03 05:00:00,5,0.4930808558655377,-0.39588860558703487,-0.2671151163953466,0.8823618736436215,-0.4996367395969668,0.3106623443093571,-1.3350292694426202,1.3660254037844386,0.36602540378443904,0.065,1
2009-07-03 06:00:00,6,0.5883106658901439,-0.3371622010527201,-0.14022806830275328,0.9240047156389269,-0.3952323311619573,0.3106623443093571,-1.3350292694426202,1.4142135623730951,2.4041448097085706e-16,0.14,1
2009-07-03 07:00:00,7,0.6375674641787332,-0.28189029090277684,-0.08943143970083083,0.9485043038844819,-0.3198890847125133,0.3106623443093571,-1.3350292694426202,1.3660254037844388,-0.36602540378443826,0.08,1
