,ws,wp1,ws_sqrt,wd_sin,wd_cos
2009-07-01 01:00:00,2.47,0.085,1.5716233645501712,0.9473221350826142,-0.32028233229842273
2009-07-01 02:00:00,2.4,0.02,1.5491933384829668,0.9113314399495753,-0.41167342221648656
2009-07-01 03:00:00,2.51,0.06,1.5842979517754858,0.877062335534556,-0.4803765810139684
2009-07-01 04:00:00,2.73,0.045,1.6522711641858305,0.8584232160170451,-0.5129420846479197
2009-07-01 05:00:00,2.93,0.035,1.711724276862369,0.8648887115806925,-0.50196366061727
2009-07-01 06:00:00,2.96,0.005,1.7204650534085253,0.9003947198460801,-0.4350739574753917
2009-07-01 07:00:00,2.81,0.0,1.676305461424021,0.9577723263849826,-0.28752768703395926
2009-07-01 08:00:00,2.73,0.0,1.6522711641858305,0.9955783744389298,-0.09393455354414551
2009-07-01 09:00:00,2.87,0.01,1.6941074346097416,0.9996573249755573,0.02617694830787314
2009-07-01 10:00:00,3.23,0.025,1.797220075561143,0.9999945016606114,-0.0033161195010589905
2009-07-01 11:00:00,3.66,0.03,1.9131126469708992,0.9959631112479873,-0.08976347271150559
2009-07-01 12:00:00,3.94,0.01,1.9849433241279208,0.9884674717597689,-0.15143334267211556
2009-07-01 13:00:00,2.85,0.0,1.6881943016134133,0.9736983336476048,-0.2278410741106125
2009-07-01 14:00:00,3.2,0.01,1.7888543819998317,0.972937431694704,-0.2310687213954177
2009-07-01 15:00:00,3.35,0.0,1.8303005217723127,0.9828388977133544,-0.18446598911885773
2009-07-01 16:00:00,3.33,0.0,1.8248287590894658,0.9937289486199696,-0.11181581585200623
2009-07-01 17:00:00,3.17,0.0,1.7804493814764855,0.9991373865891984,-0.0415268915247299
2009-07-01 18:00:00,2.88,0.005,1.697056274847714,0.9999188357864599,-0.012740558835888248
2009-07-01 19:00:00,2.46,0.0,1.5684387141358123,0.9974532463970924,-0.07132335698704319
2009-07-01 20:00:00,2.01,0.0,1.4177446878757824,0.9752266299092234,-0.22120809279024717
2009-07-01 21:00:00,1.67,0.0,1.2922847983320085,0.9093813630590418,-0.41596338362995267
2009-07-01 22:00:00,1.44,0.005,1.2,0.8228389334246343,-0.5682746603893316
2009-07-01 23:00:00,1.22,0.015,1.104536101718726,0.7051294120334126,-0.7090786361789599
2009-07-02 00:00:00,1.04,0.0,1.019803902718557,0.4188182320446984,-0.9080700900849852
2009-07-02 01:00:00,1.27,0.0,1.1269427669584644,0.5309549546945644,-0.8474000448933744
2009-07-02 02:00:00,1.59,0.01,1.2609520212918492,0.28635733309893113,-0.9581228928381097
2009-07-02 03:00:00,1.46,0.01,1.2083045973594573,0.07880708073765363,-0.9968898856070358
2009-07-02 04:00:00,1.1,0.0,1.0488088481701516,-0.24412280216829035,-0.9697443258207298
2009-07-02 05:00:00,0.81,0.0,0.9,-0.6939046988302457,-0.7200668503280135
2009-07-02 06:00:00,0.68,0.0,0.8246211251235321,-0.9178239270885163,-0.3969877061872493
2009-07-02 07:00:00,0.49,0.0,0.7,-0.7854249711970815,-0.6189568762200348
2009-07-02 08:00:00,0.57,0.0,0.7549834435270749,-0.07845909572784482,-0.996917333733128
2009-07-02 09:00:00,0.88,0.015,0.938083151964686,0.12706460860135066,-0.9918944425900296
2009-07-02 10:00:00,1.08,0.03,1.0392304845413265,-0.08802505332450367,-0.9961182610449516
2009-07-02 11:00:00,1.28,0.01,1.131370849898476,-0.3411999766886714,-0.9399907318200803
2009-07-02 12:00:00,1.44,0.0,1.2,-0.4038646529350574,-0.9148187482281097
2009-07-02 13:00:00,2.22,0.0,1.489966442575134,0.17794354547384186,-0.9840406976462909
2009-07-02 14:00:00,2.4,0.0,1.5491933384829668,0.3061937968205268,-0.9519692005462309
2009-07-02 15:00:00,2.52,0.0,1.5874507866387544,0.3632512304729784,-0.9316912275855489
2009-07-02 16:00:00,2.57,0.01,1.6031219541881396,0.386871910179266,-0.9221334638295294
2009-07-02 17:00:00,2.63,0.01,1.6217274740226855,0.40625825606000243,-0.9137582992143412
2009-07-02 18:00:00,2.76,0.01,1.6613247725836149,0.44494781447715415,-0.8955564987157449
2009-07-02 19:00:00,3.04,0.01,1.7435595774162693,0.5094920294229281,-0.8604753755654523
2009-07-02 20:00:00,3.39,0.01,1.841195263952197,0.5805608569041806,-0.8142168577416483
2009-07-02 21:00:00,3.69,0.08,1.9209372712298547,0.648119901063131,-0.7615383075367366
2009-07-02 22:00:00,3.85,0.025,1.9621416870348585,0.7109222285813256,-0.7032706341864143
2009-07-02 23:00:00,3.83,0.08,1.9570385790780926,0.7641338847746861,-0.645057676598881
2009-07-03 00:00:00,3.62,0.201,1.9026297590440449,0.8025051825423839,-0.5966451474642319
2009-07-03 01:00:00,2.97,0.12,1.7233687939614086,0.692898619765753,-0.7210350218447884
2009-07-03 02:00:00,2.86,0.035,1.6911534525287764,0.7416247047263983,-0.6708150246822759
2009-07-03 03:00:00,2.93,0.05,1.711724276862369,0.8105530383532606,-0.5856652388662806
2009-07-03 04:00:00,3.14,0.08,1.772004514666935,0.8730923192316902,-0.4875549221355769
